Dataset,Model,Method,Best_Score,Time
Original,LogisticRegression,GridSearchCV,0.42647019955068055,9.137374639511108
Original,LogisticRegression,RandomizedSearchCV,0.42021749408983455,0.40927934646606445
Original,DecisionTree,GridSearchCV,0.5016800053354675,1.270989179611206
Original,DecisionTree,RandomizedSearchCV,0.4933941328469372,0.4363234043121338
Original,RandomForest,GridSearchCV,0.4656029563974404,87.63557934761047
Original,RandomForest,RandomizedSearchCV,0.4386115471829758,14.588823080062866
Original,SVM,GridSearchCV,0.5291373163511474,6.474745988845825
Original,SVM,RandomizedSearchCV,0.5291373163511474,8.13097882270813
Top_Features,LogisticRegression,GridSearchCV,0.4931671968893602,0.11406183242797852
Top_Features,LogisticRegression,RandomizedSearchCV,0.487066763464279,0.3970146179199219
Top_Features,DecisionTree,GridSearchCV,0.46443876101165105,1.2549347877502441
Top_Features,DecisionTree,RandomizedSearchCV,0.48424334344455683,0.4179880619049072
Top_Features,RandomForest,GridSearchCV,0.460949489707663,79.40887451171875
Top_Features,RandomForest,RandomizedSearchCV,0.44734299516908216,14.204407215118408
Top_Features,SVM,GridSearchCV,0.466110250498887,4.3919641971588135
Top_Features,SVM,RandomizedSearchCV,0.46719464781724607,5.620090007781982
